,nama_user,rating,waktu,ulasan,preprocessing
0,jalan istiqomah,5,2022-06-23 15:33:45,"Sangat membantu,urusan jadi lebih mudah. Namun buka aplikasinya terasa berat banget, sering muter muter lama. Thank, salam sukses","sangat membantu,urusan jadi lebih mudah. namun buka aplikasinya terasa berat banget, sering muter muter lama. thank, salam sukses"
1,Iwang Ridwan,1,2022-06-23 15:00:18,"Udah pengajuan menambah speed iconnet dari 10mbps ke 20mbps, katanya nnti akan di infokan melalui apa gtu gmail atau pesan, sampe sekarang belum ada info apa2","udah pengajuan menambah speed iconnet dari 10mbps ke 20mbps, katanya nnti akan di infokan melalui apa gtu gmail atau pesan, sampe sekarang belum ada info apa2"
2,Boika Situmorang,1,2022-06-23 14:59:38,"Aplikasi membingungkan. Bagaimana pelanggan akan memahami apa itu SLO, apa itu NIDI tidak ada penjelasan detail. Contoh saya ingin memasang listrik baru/ubah daya sangat bingung. Intinya pembodohan.","aplikasi membingungkan. bagaimana pelanggan akan memahami apa itu slo, apa itu nidi tidak ada penjelasan detail. contoh saya ingin memasang listrik baru/ubah daya sangat bingung. intinya pembodohan."
3,Rezky Akbar Ramadhan,1,2022-06-23 14:43:33,"Kan sy mau pasang iconnet nih terus tdi teknisi sdh dtng tpi tidak bisa di pasang karena belum tersedianya tower di dekat rmh saya, tpi sebelum itu saya cek di aplikasi ini sdh tercover. Terus saya mengajukan refund tpi sudah lebih dari 1 bulan belum ada tanggapan dari PLN nya.","kan sy mau pasang iconnet nih terus tdi teknisi sdh dtng tpi tidak bisa di pasang karena belum tersedianya tower di dekat rmh saya, tpi sebelum itu saya cek di aplikasi ini sdh tercover. terus saya mengajukan refund tpi sudah lebih dari 1 bulan belum ada tanggapan dari pln nya."
4,Bangsamik Samik,5,2022-06-23 14:17:21,"Kenapa pln mobil blum bisa top up saldo,kog masih lwat accont bank biaya adminnya mahal di banding aplikasi lain, mungkin klo bisa top up biaya lebih murah dari yg lain","kenapa pln mobil blum bisa top up saldo,kog masih lwat accont bank biaya adminnya mahal di banding aplikasi lain, mungkin klo bisa top up biaya lebih murah dari yg lain"
5,Sofyan Julianto,4,2022-06-23 12:06:59,Apk aneh udah input data ga bs lognin . Sdh dpt kode otp pas di kirim masalah jaring.masalah server lah. Periksa jaringan Pas udah masuk Mau cek tagihan sdh masukan IdPL Malah ga bisa jaringan dan server bermasalah gangguan pusat .periksa oprator . Mau mu apaaa Mengen mempermudah malah buang buang kuaota dan menuhin ram HP aja . Apa hapus aja ya,apk aneh udah input data ga bs lognin . sdh dpt kode otp pas di kirim masalah jaring.masalah server lah. periksa jaringan pas udah masuk mau cek tagihan sdh masukan idpl malah ga bisa jaringan dan server bermasalah gangguan pusat .periksa oprator . mau mu apaaa mengen mempermudah malah buang buang kuaota dan menuhin ram hp aja . apa hapus aja ya
6,Farra dilla,3,2022-06-23 11:57:45,"Ubah ke bintang 3 ya, sering error aplikasinya, tidak bisa cek riwayat pembelian token. Tolong diperhatikan.","ubah ke bintang 3 ya, sering error aplikasinya, tidak bisa cek riwayat pembelian token. tolong diperhatikan."
7,silvia estalita,5,2022-06-23 11:16:59,Aplikasi nya lengkap bgt. Saya udah pernah pakai fitur pengaduan. Dan langsung direspon!.siipp.. Semakin memudahkan buat pelanggan.,aplikasi nya lengkap bgt. saya udah pernah pakai fitur pengaduan. dan langsung direspon!.siipp.. semakin memudahkan buat pelanggan.
8,Ningsi Psi_27,5,2022-06-23 10:58:56,"Aplikasinya sangat membantu sekali, terutama dalam pembayaran cepat ketika malam males keluar langsung bisa isi dengan PLN mobile, biaya admin terjangkau dan sangat keren sekali membantu pelanggan dalam memudahkan yang berkaitan dengan PLN. SUKSES SELALU PLN MOBILE","aplikasinya sangat membantu sekali, terutama dalam pembayaran cepat ketika malam males keluar langsung bisa isi dengan pln mobile, biaya admin terjangkau dan sangat keren sekali membantu pelanggan dalam memudahkan yang berkaitan dengan pln. sukses selalu pln mobile"
9,Titin Idm,5,2022-06-23 10:58:08,"Semakin mudah untuk pembayaran,semakin mudah isi token, biaya adminnya murah,pasang baru, dan perubahan daya prosesnya lebih muda.","semakin mudah untuk pembayaran,semakin mudah isi token, biaya adminnya murah,pasang baru, dan perubahan daya prosesnya lebih muda."
