,preprocessing,label
2,"['aplikasi', 'membingungkan', 'pelanggan', 'memahami', 'slo', 'nidi', 'penjelasan', 'detail', 'contoh', 'memasang', 'listrik', 'ubah', 'daya', 'bingung', 'intinya', 'pembodohan']",negatif
19,"['membantu', 'keluhan', 'listrik', 'padam', 'terkadang', 'cepat', 'tindakannya', 'tolong', 'tinjau', 'listrik', 'daerah', 'tanjung', 'jabung', 'barat', 'listrik', 'mati', 'minimal', 'jam', 'intinya', 'tiada', 'listrik', 'padam', 'terima', 'kasih']",negatif
28,"['perubahan', 'aplikasi', 'counter', 'pelayanan', 'pln', 'mpp', 'pekanbaru', 'petugas', 'paham', 'tampilkan', 'aplikasi', 'tampilan', 'pelaporan', 'pengaduan', 'gangguan', 'listrik', 'padam', 'menunjukan', 'data', 'kosong', 'bagus', 'aplikasi', 'laporan', 'pengaduan', 'listrik', 'padam']",negatif
45,"['aplikasi', 'membantu', 'pemasangan', 'iconnet', 'daftar', 'tanggal', 'perbarui', 'berhari', 'bintang', 'rendah', 'petugas', 'menghubungi', 'follow', 'up', 'dipasang', 'tanggal', 'terima', 'kasih', 'follow', 'up', 'nya', 'ya', 'ubah', 'iya', 'bintangnya', 'aplikasinya', 'dibenahi']",negatif
48,"['pengaduan', 'data', 'kosong', 'perbarui', 'malas', 'instal', 'aplikasi']",negatif
58,"['pengajuan', 'iconnet', 'ribet', 'bantu', 'percepatan', 'minimal', 'niat', 'iconnet', 'kesal']",negatif
72,"['membantu', 'sednag', 'membutuhkan', 'bantuan', 'aplikasi', 'sulit', 'berkali', 'kali', 'coba', 'ikuti', 'intruksi', 'ambil', 'foto', 'bukti', 'beranda']",negatif
77,"['isi', 'id', 'pelanggan', 'pengaduan', 'dicoba', 'berkali', 'kali', 'perubahan', 'kayak', 'diisi', 'data', 'giliran', 'salah', 'ketik', 'disuruh', 'isi', 'bener', 'aneh']",negatif
88,"['maaf', 'bintang', 'menu', 'mengajukan', 'permohonan', 'pasang', 'ribet', 'terkendala', 'verifikasi', 'nidi', 'kekantor', 'mengurus', 'nidi', 'tolong', 'diperbaiki', 'kemudahannya', 'mesti', 'sulit', 'kekantor', 'manfaatkan', 'aplikasi', 'klik', 'dimana', 'merasakan', 'kemudahan', 'terima', 'kasih']",negatif
90,"['aplikasinya', 'bagus', 'repot', 'kantor', 'pln', 'gangguan', 'listrik', 'dirumah', 'beli', 'token', 'biaya', 'admin', 'bank', 'pokoknya', 'bagus', 'deh', 'genggaman']",negatif
93,"['membantu', 'ajukan', 'pengaduan', 'jls', 'pilih', 'permasalahannya', 'klik', 'muncul', 'ksong', 'smua', 'orang', 'klik', 'masukkan', 'id', 'suami', 'tertulis', 'kosong', 'klik', 'menulis', 'bingung']",negatif
98,"['membantu', 'sih', 'kali', 'mati', 'listrik', 'penanganannya', 'lambat', 'inisiatif']",negatif
122,"['aplikasi', 'perbarui', 'she', 'setahun', 'bayar', 'aplikasi', 'terdaftar', 'daftar', 'id', 'pelanggan', 'login', 'log', 'out', 'she', 'lupa', 'id', 'nya', 'merantau', 'bayar', 'listrik', 'kampung', 'kota', 'bayare', 'sulit']",negatif
146,"['mohon', 'maaf', 'kasih', 'rating', 'jelek', 'mengajukan', 'pemasangan', 'sulit', 'nya', 'ampun', 'mengurus', 'nidi', 'slo', 'terpisah', 'pengurusan', 'nidi', 'slo', 'pln', 'langsung', 'pintu', 'aplikasi', 'kesana', 'kesini', 'nya', 'aplikasi', 'biar', 'mudah', 'iya']",negatif
153,"['kecewa', 'banget', 'beli', 'token', 'via', 'pln', 'mobile', 'nomor', 'token', 'muncul', 'ngehubungi', 'call', 'center', 'pusat', 'dikasih', 'nomor', 'token', 'nya', 'cek', 'token', 'pln', 'mobile', 'muncul', 'tertulis', 'kadaluarsa', 'transfer', 'ah', 'kapok', 'beli', 'token', 'pln', 'mobile', 'ujung', 'nya', 'telepon', 'kak', 'call', 'center', 'pusat', 'nomor', 'token']",negatif
159,"['aplikasi', 'jelek', 'hapus', 'pln', 'aplikasi', 'nya', 'berkelas', 'salah', 'aplikasi', 'game', 'kacangan']",negatif
162,"['aplikasi', 'daftar', 'iconnet', 'minggu', 'instalasi', 'kerumah', 'bayar', 'lunas', 'tagihan', 'july', 'pasang', 'kesal', 'pengaduan', 'whatsapp', 'ditelepon', 'menunggu', 'kerja', 'kerja', 'pasang', 'daftar']",negatif
174,"['serius', 'listrik', 'tuktrek', 'pengaduan', 'pakai', 'aplikasi', 'petugas', 'langsung', 'rusak', 'pelayanan', 'bintang', 'pertahankan', 'pelayanannya', 'biar', 'rating', 'aplikasinya', 'bagus']",negatif
175,"['lambat', 'banget', 'meningkatkan', 'akun', 'foto', 'ktp', 'keupgrade', 'jam', 'x', 'jam', 'banget', 'customer', 'service', 'gitu', 'menunggu', 'respon', 'human', 'nya', 'banget', 'left', 'chat', 'dibales', 'tau', 'oiya', 'seringkali', 'mengalami', 'aplikasi', 'disayangkan', 'banget', 'sih']",negatif
178,"['membantu', 'lambat', 'penaganan', 'laporan', 'pemasangan', 'daya']",negatif
180,"['semoga', 'saran', 'penyampaian', 'alasan', 'gangguan', 'pemberitahuan', 'rinci', 'padam', 'menyala', 'dilengkapi', 'informasi', 'sop', 'pengelolaan', 'pengaduan', 'kategori', 'gangguan', 'padam', 'keluhan']",negatif
205,"['bintang', 'buka', 'pengaduan', 'aplikasi', 'bosan', 'mencoba', 'nihil', 'hasil', 'ny', 'solusi', 'aplikasi']",negatif
207,"['kali', 'perbarui', 'sulit', 'pengaduan', 'pemadaman', 'dikasi', 'pilihan', 'pakai', 'nomor', 'pelanggan', 'titik', 'lokasi', 'kali', 'pakai', 'perbarui']",negatif
