,preprocessing,label
1,"['pengajuan', 'menambah', 'speed', 'iconnet', 'mbps', 'mbps', 'infokan', 'gmail', 'pesan', 'informasi']",netral
3,"['pasang', 'iconnet', 'teknisi', 'pasang', 'tersedianya', 'tower', 'rumah', 'cek', 'aplikasi', 'tercover', 'mengajukan', 'pengembalian', 'dana', 'tanggapan', 'pln', 'nya']",netral
5,"['aplikasi', 'aneh', 'input', 'data', 'login', 'kode', 'otp', 'kirim', 'jaring', 'server', 'periksa', 'jaringan', 'masuk', 'cek', 'tagihan', 'masukan', 'idpl', 'jaringan', 'server', 'bermasalah', 'gangguan', 'pusat', 'periksa', 'operator', 'mu', 'mempermudah', 'buang', 'kuota', 'menuhin', 'ram', 'hp', 'hapus', 'iya']",netral
6,"['ubah', 'bintang', 'ya', 'error', 'aplikasinya', 'cek', 'riwayat', 'pembelian', 'token', 'tolong', 'diperhatikan']",netral
11,"['mantaap', 'aplikasi', 'plnmobile', 'aktivitas', 'fitur', 'sesuai', 'genggaman']",netral
13,"['perbarui', 'diperbarui', 'bagus', 'kendala', 'dicoba', 'perbarui', 'aplikasi']",netral
14,"['fungsinya', 'aplikasi', 'aneh', 'komplain', 'diketik', 'hp', 'mengetik', 'note', 'copy', 'tempel', 'kolom', 'chat']",netral
16,"['bayar', 'keterangannya', 'menunggu', 'pembayaran', 'mulu', 'ngehubungin', 'cs', 'menunggu', 'on', 'mengirim', 'keluhan', 'centang', 'aktif', 'jelek', 'aplikasi']",netral
17,"['proses', 'pengembalian', 'dana', 'ikutan', 'promo', 'daya', 'promo', 'barang', 'batalin', 'eh', 'uangnya', 'chat', 'menunggu', 'email', 'kepastian', 'tolong', 'proses', 'secepatnya', 'nomor', 'lapor', 'dimohon', 'pln', 'tolong', 'bantu', 'kasih', 'bintang', 'kalo', 'uang', 'terima', 'kasih']",netral
18,"['pengaduan', 'gangguan', 'mudah', 'tersedia', 'aplikasi', 'mantab']",netral
21,"['daftar', 'berkali', 'whatsapp', 'pembayaran', 'giliran', 'bayar', 'teknisinya', 'bilang', 'pasang', 'giliran', 'uang', 'prosesnya', 'ribet']",netral
