,preprocessing,label
0,"['membantu', 'urusan', 'mudah', 'buka', 'aplikasinya', 'berat', 'banget', 'muter', 'thank', 'salam', 'sukses']",positif
4,"['pln', 'mobil', 'bagus', 'up', 'saldo', 'kog', 'account', 'bank', 'biaya', 'adminnya', 'mahal', 'banding', 'aplikasi', 'kalo', 'bagus', 'up', 'biaya', 'murah']",positif
7,"['aplikasi', 'nya', 'lengkap', 'bgt', 'pakai', 'fitur', 'pengaduan', 'langsung', 'direspon', 'siipp', 'memudahkan', 'pelanggan']",positif
8,"['aplikasinya', 'membantu', 'pembayaran', 'cepat', 'malam', 'malas', 'langsung', 'isi', 'pln', 'mobile', 'biaya', 'admin', 'terjangkau', 'keren', 'membantu', 'pelanggan', 'memudahkan', 'berkaitan', 'pln', 'sukses', 'pln', 'mobile']",positif
9,"['mudah', 'pembayaran', 'mudah', 'isi', 'token', 'biaya', 'adminnya', 'murah', 'pasang', 'perubahan', 'daya', 'prosesnya', 'muda']",positif
10,"['semenjak', 'pakai', 'pln', 'mobile', 'mudah', 'pelanggan', 'laporan', 'gangguan', 'langsung', 'kerjakan', 'petugas', 'menit', 'rumah', 'dikenakan', 'biaya', 'apapun', 'serba', 'gratis', 'petugas', 'ramah', 'profesional', 'terima', 'kasih', 'pln', 'mobile']",positif
12,"['membantu', 'electrizen', 'mempermudah', 'pelayanan', 'kelistrikan', 'meningkatkan', 'cepat', 'informatif']",positif
15,"['pilihan', 'token', 'nya', 'murah', 'membantu', 'meningkatkan', 'foto', 'ktp', 'verifikasi', 'saldo', 'terverifikasi', 'kali', 'foto', 'ktp', 'mohon', 'perbaiki', 'y', 'aplikasi', 'harga', 'murah', 'sungguh', 'membantu', 'terima', 'kasih', 'aplikasi', 'pln', 'mobile', 'mohon', 'tingkat', 'pelayanan', 'nya']",positif
20,"['kasih', 'bintang', 'wilayah', 'pekanbaru', 'penanganan', 'cepat', 'menit', 'pengaduan', 'petugas', 'langsung', 'lengkapi', 'form', 'pengaduan', 'aplikasi', 'petugas', 'langsung', 'merespon', 'mantapp']",positif
22,"['aplikasi', 'membantu', 'cek', 'tagihan', 'listrik', 'pasang', 'migrasi', 'daya', 'pengaduan', 'jg', 'mantap']",positif
23,"['aplikasi', 'membantu', 'aplikasi', 'fitur', 'kelistrikan', 'penanganan', 'laporan', 'listrik', 'padam', 'cepat', 'tanggap']",positif
25,"['mantap', 'pln', 'lapor', 'gangguan', 'mudah', 'harga', 'pasang', 'meteran', 'listrik', 'daya', 'mudah', 'terbuka', 'belanja', 'keperluan', 'sehari', 'loh', 'market', 'place', 'nya', 'sukses', 'pln']",positif
26,"['pelayanan', 'ramah', 'cepat', 'ditangani', 'sulit', 'biaya', 'pengaduan', 'pln']",positif
27,"['aplikasinya', 'bagus', 'permohonan', 'ubah', 'daya', 'muncul', 'pilihan', 'daya', 'turun', 'daya', 'aplikasi', 'live', 'chat', 'berfungsi', 'tombol', 'keyboard', 'digital', 'nya', 'muncul', 'ketik', 'apapun', 'time', 'out', 'berbelit', 'belit', 'prosedur', 'permohonan', 'penurunan', 'daya', 'giliran', 'daya', 'gampang', 'banget', 'harap', 'berbelit', 'belit', 'tolong', 'diperbaiki']",positif
29,"['terima', 'kasih', 'pln', 'mobile', 'fitur', 'fiturnya', 'menarik', 'aksesnya', 'ribet', 'pelanggan', 'dipermudah', 'hadirnya', 'aplikasi', 'pln', 'mobile', 'kerennya', 'keren', 'banget', 'semoga', 'lengkap']",positif
30,"['diperbarui', 'aplikasi', 'ringan', 'fitur', 'membantu', 'mantap', 'pln', 'pertahankan']",positif
34,"['komplit', 'aplikasi', 'pln', 'mobile', 'membantu', 'permasalahan', 'kelistrikan', 'mantap']",positif
35,"['aplikasi', 'membantu', 'listrik', 'rumah', 'fast', 'respon', 'petugas', 'ramah', 'santun', 'salut', 'operator', 'petugas', 'lapangan']",positif
36,"['aplikasi', 'pilihan', 'pengaduan', 'berjalan', 'mempermudah', 'mempersulit', 'pengguna', 'coba', 'aplikasi', 'error', 'kehalaman', 'utama']",positif
37,"['pelayanannya', 'cepat', 'tanggap', 'petugasnya', 'ramah', 'kerjanya', 'masukan', 'aplikasi', 'samsung', 'galaxy', 'a', 'live', 'chat', 'muncul', 'fungsi', 'keyboard', 'dipakai', 'selebihnya', 'mantap', 'semangat', 'kakak']",positif
41,"['terbaik', 'aplikasi', 'beli', 'token', 'langsung', 'historis', 'beli', 'token', 'laporan', 'gangguan', 'mudah', 'gerak', 'cepat', 'layanannya', 'makasih', 'pln']",positif
42,"['membantu', 'pembayaran', 'tagihan', 'listrik', 'pembelian', 'token', 'tampil', 'pemberitahuan', 'kalo', 'pemeliharaan', 'senang', 'deh', 'kalo', 'pakai', 'va', 'bank', 'adminnya', 'murah', 'kalo', 'aplikasi', 'bagus', 'job', 'pln']",positif
43,"['base', 'on', 'true', 'story', 'layanan', 'pengaduan', 'gangguan', 'nya', 'bagus', 'informative', 'gangguan', 'nya', 'cepat', 'safety', 'first', 'profesional', 'aplikasi', 'user', 'friendly', 'banget', 'pln', 'semoga', 'jaya']",positif
44,"['terima', 'kasih', 'tim', 'pln', 'padang', 'semalam', 'komplain', 'pemadaman', 'listrik', 'akibat', 'trafo', 'meledak', 'alhamdulillah', 'jam', 'malam', 'menyala', 'listrik', 'nya', 'pln', 'cepat', 'tanggap']",positif
