,nama_user,rating,waktu,ulasan,preprocessing,stemming_ulasan
0,jalan istiqomah,5,2022-06-23 15:33:45,"Sangat membantu,urusan jadi lebih mudah. Namun buka aplikasinya terasa berat banget, sering muter muter lama. Thank, salam sukses","['membantu', 'urusan', 'mudah', 'buka', 'aplikasinya', 'berat', 'banget', 'muter', 'thank', 'salam', 'sukses']",bantu urus mudah buka aplikasi berat banget muter thank salam sukses
1,Iwang Ridwan,1,2022-06-23 15:00:18,"Udah pengajuan menambah speed iconnet dari 10mbps ke 20mbps, katanya nnti akan di infokan melalui apa gtu gmail atau pesan, sampe sekarang belum ada info apa2","['pengajuan', 'menambah', 'speed', 'iconnet', 'mbps', 'mbps', 'infokan', 'gmail', 'pesan', 'informasi']",aju tambah speed iconnet mbps mbps info gmail pesan informasi
2,Boika Situmorang,1,2022-06-23 14:59:38,"Aplikasi membingungkan. Bagaimana pelanggan akan memahami apa itu SLO, apa itu NIDI tidak ada penjelasan detail. Contoh saya ingin memasang listrik baru/ubah daya sangat bingung. Intinya pembodohan.","['aplikasi', 'membingungkan', 'pelanggan', 'memahami', 'slo', 'nidi', 'penjelasan', 'detail', 'contoh', 'memasang', 'listrik', 'ubah', 'daya', 'bingung', 'intinya', 'pembodohan']",aplikasi bingung langgan paham slo nidi jelas detail contoh pasang listrik ubah daya bingung inti bodoh
3,Rezky Akbar Ramadhan,1,2022-06-23 14:43:33,"Kan sy mau pasang iconnet nih terus tdi teknisi sdh dtng tpi tidak bisa di pasang karena belum tersedianya tower di dekat rmh saya, tpi sebelum itu saya cek di aplikasi ini sdh tercover. Terus saya mengajukan refund tpi sudah lebih dari 1 bulan belum ada tanggapan dari PLN nya.","['pasang', 'iconnet', 'teknisi', 'pasang', 'tersedianya', 'tower', 'rumah', 'cek', 'aplikasi', 'tercover', 'mengajukan', 'pengembalian', 'dana', 'tanggapan', 'pln', 'nya']",pasang iconnet teknisi pasang sedia tower rumah cek aplikasi tercover aju kembali dana tanggap pln nya
4,Bangsamik Samik,5,2022-06-23 14:17:21,"Kenapa pln mobil blum bisa top up saldo,kog masih lwat accont bank biaya adminnya mahal di banding aplikasi lain, mungkin klo bisa top up biaya lebih murah dari yg lain","['pln', 'mobil', 'bagus', 'up', 'saldo', 'kog', 'account', 'bank', 'biaya', 'adminnya', 'mahal', 'banding', 'aplikasi', 'kalo', 'bagus', 'up', 'biaya', 'murah']",pln mobil bagus up saldo kog account bank biaya adminnya mahal banding aplikasi kalo bagus up biaya murah
5,Sofyan Julianto,4,2022-06-23 12:06:59,Apk aneh udah input data ga bs lognin . Sdh dpt kode otp pas di kirim masalah jaring.masalah server lah. Periksa jaringan Pas udah masuk Mau cek tagihan sdh masukan IdPL Malah ga bisa jaringan dan server bermasalah gangguan pusat .periksa oprator . Mau mu apaaa Mengen mempermudah malah buang buang kuaota dan menuhin ram HP aja . Apa hapus aja ya,"['aplikasi', 'aneh', 'input', 'data', 'login', 'kode', 'otp', 'kirim', 'jaring', 'server', 'periksa', 'jaringan', 'masuk', 'cek', 'tagihan', 'masukan', 'idpl', 'jaringan', 'server', 'bermasalah', 'gangguan', 'pusat', 'periksa', 'operator', 'mu', 'mempermudah', 'buang', 'kuota', 'menuhin', 'ram', 'hp', 'hapus', 'iya']",aplikasi aneh input data login kode otp kirim jaring server periksa jaring masuk cek tagih masuk idpl jaring server masalah ganggu pusat periksa operator mu mudah buang kuota menuhin ram hp hapus iya
6,Farra dilla,3,2022-06-23 11:57:45,"Ubah ke bintang 3 ya, sering error aplikasinya, tidak bisa cek riwayat pembelian token. Tolong diperhatikan.","['ubah', 'bintang', 'ya', 'error', 'aplikasinya', 'cek', 'riwayat', 'pembelian', 'token', 'tolong', 'diperhatikan']",ubah bintang ya error aplikasi cek riwayat beli token tolong perhati
7,silvia estalita,5,2022-06-23 11:16:59,Aplikasi nya lengkap bgt. Saya udah pernah pakai fitur pengaduan. Dan langsung direspon!.siipp.. Semakin memudahkan buat pelanggan.,"['aplikasi', 'nya', 'lengkap', 'bgt', 'pakai', 'fitur', 'pengaduan', 'langsung', 'direspon', 'siipp', 'memudahkan', 'pelanggan']",aplikasi nya lengkap bgt pakai fitur adu langsung direspon siipp mudah langgan
8,Ningsi Psi_27,5,2022-06-23 10:58:56,"Aplikasinya sangat membantu sekali, terutama dalam pembayaran cepat ketika malam males keluar langsung bisa isi dengan PLN mobile, biaya admin terjangkau dan sangat keren sekali membantu pelanggan dalam memudahkan yang berkaitan dengan PLN. SUKSES SELALU PLN MOBILE","['aplikasinya', 'membantu', 'pembayaran', 'cepat', 'malam', 'malas', 'langsung', 'isi', 'pln', 'mobile', 'biaya', 'admin', 'terjangkau', 'keren', 'membantu', 'pelanggan', 'memudahkan', 'berkaitan', 'pln', 'sukses', 'pln', 'mobile']",aplikasi bantu bayar cepat malam malas langsung isi pln mobile biaya admin jangkau keren bantu langgan mudah kait pln sukses pln mobile
9,Titin Idm,5,2022-06-23 10:58:08,"Semakin mudah untuk pembayaran,semakin mudah isi token, biaya adminnya murah,pasang baru, dan perubahan daya prosesnya lebih muda.","['mudah', 'pembayaran', 'mudah', 'isi', 'token', 'biaya', 'adminnya', 'murah', 'pasang', 'perubahan', 'daya', 'prosesnya', 'muda']",mudah bayar mudah isi token biaya adminnya murah pasang ubah daya proses muda
10,Bella Fitri,5,2022-06-23 10:46:32,"Semenjak pakai PLN mobile, semuanya menjadi mudah, pelanggan yang laporan gangguan langsung di kerjakan petugas, dan tidak sampai 15menit sampai ke rumah, tidak dikenakan biaya apapun serba gratis, petugas yg datang sangat ramah dan profesional. Terimakasih PLN mobile !!!!","['semenjak', 'pakai', 'pln', 'mobile', 'mudah', 'pelanggan', 'laporan', 'gangguan', 'langsung', 'kerjakan', 'petugas', 'menit', 'rumah', 'dikenakan', 'biaya', 'apapun', 'serba', 'gratis', 'petugas', 'ramah', 'profesional', 'terima', 'kasih', 'pln', 'mobile']",semenjak pakai pln mobile mudah langgan lapor ganggu langsung kerja tugas menit rumah kena biaya apa serba gratis tugas ramah profesional terima kasih pln mobile
11,RAKHMAD MAHMUD,5,2022-06-23 10:10:00,"Mantaaaap,... Dgn Aplikasi PLNmobile,... Saya dapat melakukan aktifitas dgn fitur yg ada sesuai dgn keinginan saya,... #PLNMobile, #Satu Genggaman","['mantaap', 'aplikasi', 'plnmobile', 'aktivitas', 'fitur', 'sesuai', 'genggaman']",mantaap aplikasi plnmobile aktivitas fitur sesuai genggam
12,dina Novaeyati,5,2022-06-23 07:53:38,"Sangat membantu electrizen untuk mempermudah mendapat pelayanan kelistrikan, terus upgrade menjadi lebih cepat dan informatif.","['membantu', 'electrizen', 'mempermudah', 'pelayanan', 'kelistrikan', 'meningkatkan', 'cepat', 'informatif']",bantu electrizen mudah layan listrik tingkat cepat informatif
13,sidiq,1,2022-06-23 07:46:46,Sering update tetapi semakin diupdate bukan semakin bagus malah semakin banyak kendala.apa tidak dicoba dulu kalau update aplikasi,"['perbarui', 'diperbarui', 'bagus', 'kendala', 'dicoba', 'perbarui', 'aplikasi']",baru baru bagus kendala coba baru aplikasi
14,Yan Lai,1,2022-06-23 06:57:36,"Ga tau fungsinya apa ni aps Aneh , komplain ga bisa diketik, apa cuma di hp saya yg ga bisa? Jdi saya harus ngetik di note dulu, terus copy, terus tempel di kolom chat","['fungsinya', 'aplikasi', 'aneh', 'komplain', 'diketik', 'hp', 'mengetik', 'note', 'copy', 'tempel', 'kolom', 'chat']",fungsi aplikasi aneh komplain ketik hp etik note copy tempel kolom chat
15,Fadli Efendi,3,2022-06-23 04:10:43,"Untuk pilihan token nya memang ada yang paling murah itu sangat membantu,akan tetapi upgrade dan sudah foto KTP untuk verifikasi saldo sampai saat ini belum terverifikasi,padahal sudah 2 kali foto KTP,mohon di perbaiki y...karena dengan aplikasi ini dengan harga yang sangat murah itu ada,sungguh sangat membantu...terima kasih buat aplikasi PLN mobile mohon di tingkat kan pelayanan nya","['pilihan', 'token', 'nya', 'murah', 'membantu', 'meningkatkan', 'foto', 'ktp', 'verifikasi', 'saldo', 'terverifikasi', 'kali', 'foto', 'ktp', 'mohon', 'perbaiki', 'y', 'aplikasi', 'harga', 'murah', 'sungguh', 'membantu', 'terima', 'kasih', 'aplikasi', 'pln', 'mobile', 'mohon', 'tingkat', 'pelayanan', 'nya']",pilih token nya murah bantu tingkat foto ktp verifikasi saldo verifikasi kali foto ktp mohon baik y aplikasi harga murah sungguh bantu terima kasih aplikasi pln mobile mohon tingkat layan nya
16,Auliya Shafira Putri,1,2022-06-23 01:45:57,"Udah bayar tapi keterangannya menunggu pembayaran mulu, ngubungin cs udah lama nungguin dan on terus malah udah ngirim keluhan dan centang tapi katanya ga aktif. Emang jelek ni app","['bayar', 'keterangannya', 'menunggu', 'pembayaran', 'mulu', 'ngehubungin', 'cs', 'menunggu', 'on', 'mengirim', 'keluhan', 'centang', 'aktif', 'jelek', 'aplikasi']",bayar terang tunggu bayar mulu ngehubungin cs tunggu on kirim keluh centang aktif jelek aplikasi
17,Arnis Riandhi,1,2022-06-22 23:24:58,"Proses refaund udah hari ke 12 belum kembali, mau ikutan promo naik daya malah udah gak promo, barang udah di batalin, eh malah uangnya gak kembali.😭😭di chat harus nunggu email, tidak ada kepastian waktu. Tolong proses secepatnya nomer lapor 1601090. Dimohon dengan sangat bp ibu PLN. Tolong bantu saya. Saya kasih bintang 5 klo uang sudah kembali. Terimakasih","['proses', 'pengembalian', 'dana', 'ikutan', 'promo', 'daya', 'promo', 'barang', 'batalin', 'eh', 'uangnya', 'chat', 'menunggu', 'email', 'kepastian', 'tolong', 'proses', 'secepatnya', 'nomor', 'lapor', 'dimohon', 'pln', 'tolong', 'bantu', 'kasih', 'bintang', 'kalo', 'uang', 'terima', 'kasih']",proses kembali dana ikut promo daya promo barang batalin eh uang chat tunggu email pasti tolong proses cepat nomor lapor mohon pln tolong bantu kasih bintang kalo uang terima kasih
18,Listi Ardhannari,5,2022-06-22 21:50:15,"Sekarang pengaduan gangguan sangat mudah, semua sudah tersedia dalam 1 aplikasi. Mantab!","['pengaduan', 'gangguan', 'mudah', 'tersedia', 'aplikasi', 'mantab']",adu ganggu mudah sedia aplikasi mantab
19,Elseria Panggabean,5,2022-06-22 20:29:10,"Sangat membantu untuk keluhan jika listrik padam terkadang juga kurang cepat tindakannya, Tapi tolong di tinjau lagi kenapa listrik di daerah tanjung jabung barat ini setiap hari pasti listrik mati minimal 3 jam. Intinya tiada hari tanpa listrik padam Terimakasih","['membantu', 'keluhan', 'listrik', 'padam', 'terkadang', 'cepat', 'tindakannya', 'tolong', 'tinjau', 'listrik', 'daerah', 'tanjung', 'jabung', 'barat', 'listrik', 'mati', 'minimal', 'jam', 'intinya', 'tiada', 'listrik', 'padam', 'terima', 'kasih']",bantu keluh listrik padam terkadang cepat tindak tolong tinjau listrik daerah tanjung jabung barat listrik mati minimal jam inti tiada listrik padam terima kasih
